Source,Target
,
GLI2,ABCA1
GLI2,BMP7
GLI2,FGF10
GLI2,FOXA2
GLI2,FOXC2
GLI2,FOXL1
GLI2,ATP9A
GLI2,FGF13
GLI2,SYTL2
GLI2,BCL6
BCL6,LITAF
GLI2,BMP1
BMP1,SMAD1
BMP7,SMAD1
GLI2,E2F1
E2F1,BNIP3
E2F1,DLK1
E2F1,FBN2
E2F1,FGFR1
E2F1,HIC1
E2F1,HMGA1
E2F1,MYCN
E2F1,VEGFA
E2F1,CD2AP
E2F1,MUC4
FOXA2,ABCA3
FOXA2,AGR2
FOXA2,G6PC
FOXA2,SOX14
FOXL1,BMP4
GLI2,GLI
GLI,FOXA2
GLI2,GLI1
GLI1,FBN2
GLI1,FOXA2
GLI1,FOXD1
GLI1,ID4
GLI1,IGF2
GLI1,KANK1
GLI1,PDE9A
GLI1,PLTP
GLI1,RBM24
GLI1,SGK1
GLI1,SHH
GLI1,DNER
GLI1,NPDC1
GLI1,PRDM8
GLI2,IL13
IL13,STAT1
GLI2,IL6
IL6,CEBPB
GLI2,IRF9
IRF9,IL8
IRF9,NCAM1
GLI2,JUN
JUN,ABCA1
JUN,ACE
JUN,HBB
JUN,HEY1
JUN,HMGA1
JUN,IGF2
JUN,IL8
JUN,KCNN3
JUN,LDHA
JUN,MBP
JUN,MGP
JUN,PTX3
JUN,STMN1
JUN,TFPI2
JUN,VCAM1
JUN,VEGFA
JUN,CD22
JUN,ELN
JUN,GGT1
JUN,HEXB
JUN,MMP20
JUN,MUC4
JUN,SOX7
JUN,STAT1
JUN,TTPA
GLI2,MAZ
MAZ,PTH1R
GLI2,MYC
MYC,DKK1
MYC,ENDOU
MYC,IGK
MYC,LDHA
MYC,NCAM1
MYC,TPM1
MYC,VEGFA
MYC,BCAT1
MYC,CEBPA
MYC,KLF7
GLI2,PAX3
PAX3,SHH
GLI2,TEAD1
TEAD1,TPM1
TEAD1,VEGFA
TEAD1,MSLN
GLI2,VDR
VDR,DKK4
VDR,PODXL
LEF1,EPHB2
LEF1,EPHB3
LEF1,LEF1
LEF1,LIMA1
LEF1,NCAM1
LEF1,NRCAM
LEF1,PITX2
LEF1,CEBPA
LEF1,OVOL1
LEF1,AR
AR,FHL2
AR,VEGFA
AR,MUC1
AR,TRPV3
CEBPA,ACE
CEBPA,ANK1
CEBPA,EPO
CEBPA,FOXA2
CEBPA,HBB
CEBPA,ID1
CEBPA,IGF2
CEBPA,MMP11
CEBPA,ABCA3
CEBPA,CD22
CEBPA,CEBPA
CEBPA,ELN
CEBPA,G6PC
LEF1,CTNNB1
CTNNB1,BAMBI
CTNNB1,BMP2
CTNNB1,BMP4
CTNNB1,DKK1
CTNNB1,DKK4
CTNNB1,DPEP1
CTNNB1,ENPP2
CTNNB1,EPHB2
CTNNB1,EPHB3
CTNNB1,ETV5
CTNNB1,FGF20
CTNNB1,FGF9
CTNNB1,FSCN1
CTNNB1,GLI2
CTNNB1,IGF2
CTNNB1,IHH
CTNNB1,IL8
CTNNB1,INHBB
CTNNB1,LBX1
CTNNB1,LEF1
CTNNB1,LIMA1
CTNNB1,MYCN
CTNNB1,NKD1
CTNNB1,NOTUM
CTNNB1,NRCAM
CTNNB1,PTX3
CTNNB1,RSPO2
CTNNB1,SGK1
CTNNB1,SOX10
CTNNB1,SP5
CTNNB1,TBX3
CTNNB1,VEGFA
CTNNB1,VEGFC
CTNNB1,WNT11
CTNNB1,CEBPA
CTNNB1,EMX2
CTNNB1,FRK
CTNNB1,KLF4
