geneName	LogFC	pvalue
LORF2	-3.0856620009335547	2.367900347080339e-6
CYTB	-1.2520433704439287	2.6479009376304095e-15
TM165	-0.795012392125575	1.8180717834937084e-12
ATS3	1.0180838106658445	2.5841970197770624e-7
ANK1	3.380392398056439	1.5909126159193352e-24
ODF3A	3.698160795064765	1.257505588991499e-7
CXA1	0.8717754068636699	4.535849911485239e-4
CO8A1	1.1028967056489944	5.302889828598079e-14
FLVC2	-0.9803683471192249	9.385473686373094e-45
SPTC3	-1.0314082556820974	7.941829436123784e-25
PTH1R	1.499678218693464	9.575692641284672e-19
CP8B1	-0.9183990054551576	1.9674037834105132e-12
STAT1	-0.9104226042276324	1.3811981890875744e-8
TBX22	2.7252346525746693	1.2744487070383968e-22
MYOC	2.1347728974048272	1.4624612161328808e-39
B3GA1	1.449829032854045	4.456554269619518e-18
SOX7	-0.7528532068732252	1.1643373699534164e-17
EYA1	0.8566234935343583	6.405045653247189e-5
FOXD2	2.4984459936027026	3.304409421606286e-18
DRS7C	3.77056504960936	7.504199658242393e-6
GFRA2	1.1183585065969832	8.947943723327075e-13
LYAM3	2.366720989197606	3.670447835763465e-9
THIO	1.185309976758676	7.249956711750687e-6
ESM1	1.5533694021788385	8.658040910985997e-28
CAC1S	2.6878304516178346	4.027148901936251e-6
CE170	0.7502737583981307	2.528257619859452e-13
FA49A	1.0204480247050958	6.431765849296098e-17
PITX3	3.2602399068407593	4.596584155964905e-61
MYOZ2	3.465216885543905	3.379910700876957e-10
LORF2	-1.1350177549032396	1.52332516228836e-8
OLM2B	1.2359769690135902	6.903512399998034e-22
ITB3	-0.7711166928671046	2.0421901248220626e-31
TGM2	-1.7700428422518746	1.765128295745816e-7
GRHL1	-1.152617731783312	9.248579387238706e-60
GRHL3	-1.4733142709312144	1.2034429076994544e-45
DYR	-0.9230632348816282	3.509580162902781e-6
MSLNL	-1.2510660346957325	2.5964343812807574e-15
LOX12	-0.8707261534380997	1.4199853554747158e-4
BIVM	0.7552397437454306	1.758185731082405e-12
CD2AP	-0.7918555923593538	2.3581861756431374e-40
VCAM1	0.9866038870351861	5.056536332913443e-4
ERRFI	-0.9384213629415206	1.936696926110139e-16
PCD18	1.1966254247559094	8.947922980091803e-7
RGS2	-1.092077874543491	9.246751996335712e-43
FGRL1	0.8849960392400076	3.955466378720072e-4
LORF2	-1.374379220319586	7.856693356261319e-8
LFNG	1.2985971264063085	2.2604945027264667e-53
MSLN	-1.2868475452639412	1.8607675384924157e-9
LMTK1	1.4323924008934357	9.155380762209172e-22
BTD	-1.480446342670172	2.7150679996185523e-29
TR19L	2.3433101603123347	8.24903374027915e-129
TWIST	0.8695500902921391	5.940765521738066e-28
S6A20	1.111845284792562	9.098071248288549e-10
SULF1	1.1099748459084262	2.0766696169944523e-44
ICEF1	-2.852886081669251	1.3622812904937254e-4
GALT6	-1.1998361759606537	4.3466786975018336e-30
POL	-1.474539855290647	2.701311182967999e-38
FR1L4	-1.6029504597151611	6.762562956764117e-56
FXD3A	1.1836805807779067	1.7504779676576008e-7
FOXD1	1.9343438314538601	4.848355457039596e-10
AF9	1.0963267713820526	2.38405537251176e-4
NXNL2	1.0494934359777706	8.262853256637913e-11
IRX3	1.8077747514004185	3.2142938979965255e-4
NHSL2	0.9686382102514961	5.243823461226224e-4
NSG1	1.4223274416690965	3.528856512988453e-4
F200A	-1.0271660641217544	2.058817764680065e-7
SATB1	1.1382234223317	1.2079033886116818e-6
FOXD2	2.087153279247193	6.428033968717447e-7
RELN	-1.0185207764325674	4.460152573764993e-15
