Source,Target
BMP4,SMAD1
BMP4,SMAD5
CREB1,PITX2
CTNNB1,DKK1
CTNNB1,DKK4
CTNNB1,IGF2
CTNNB1,IHH
CTNNB1,IL8
CTNNB1,BMP4
CTNNB1,PTX3
CTNNB1,GLI2
CTNNB1,SGK1
CTNNB1,BMP2
CTNNB1,SOX10
CTNNB1,EPHB3
CTNNB1,LEF1
CTNNB1,EPHB2
CTNNB1,NRCAM
CTNNB1,CEBPA
CTNNB1,MYCN
CTNNB1,BAMBI
CTNNB1,MSLN
CTNNB1,RSPO2
CTNNB1,KLF4
CTNNB1,LIMA1
CTNNB1,VEGFC
CTNNB1,VEGFA
FOXL1,BMP4
GLI1,SHH
GLI3,SHH
LEF1,NCAM1
LEF1,PITX2
LEF1,LEF1
LEF1,LIMA1
LEF1,NRCAM
LEF1,RUNX2
LEF1,EPHB3
LEF1,CTNNB1
LEF1,E2F1
LEF1,EPHB2
LEF1,CEBPA
PAX3,SHH
PITX1,RUNX1
PITX1,RUNX2
PITX1,JUN
PITX2,LEF1
SHH,GLI2
SHH,GLI3
SMAD3,LEF1
SMAD7,LEF1
SOX2,ISL1
SOX2,FGF3
SOX2,AGR2
SOX2,SOX2
SOX2,DKK1
SOX9,SHH
SP1,LEF1
STAT3,SHH
