geneName,log2FoldChange,padj,RNEA_geneName,sig,centralNode,DE,TF,filteredNetwork,geneNameShort,filteredNetwork_nosep
ABCA1.1,1.7261611785399373,1.4834950156322042e-20,ABCA1,TRUE,FALSE,upregulated,FALSE,TRUE,ABCA1,FALSE
ABCA3,-0.9582549057396569,8.748087871028869e-5,ABCA3,TRUE,FALSE,downregulated,FALSE,FALSE,ABCA3,FALSE
ABCG2,-1.0094244078324448,3.76630723081053e-9,ABCG2,TRUE,FALSE,downregulated,FALSE,FALSE,ABCG2,FALSE
ACE,1.589295370418694,1.6378896534761352e-13,ACE,TRUE,FALSE,upregulated,FALSE,TRUE,ACE,FALSE
ACTC.1,5.337712513362177,1.5940735947714237e-6,ACTC,TRUE,FALSE,upregulated,FALSE,FALSE,ACTC,FALSE
AGR2,-0.8210536101848558,5.122655496441107e-70,AGR2,TRUE,FALSE,downregulated,FALSE,TRUE,AGR2,TRUE
AHR,1.3510713780700527,0.1155128225406043,AHR,FALSE,FALSE,RNEA_addition,FALSE,FALSE,AHR,FALSE
ANK1.1,3.380392398056439,1.5909126159193352e-24,ANK1,TRUE,FALSE,upregulated,FALSE,FALSE,ANK1,FALSE
AQP1,1.3333187344481143,2.3593646832977278e-8,AQP1,TRUE,FALSE,upregulated,FALSE,FALSE,AQP1,FALSE
ASCL1,-0.588298812619873,7.93769594269865e-20,ASCL1,FALSE,FALSE,RNEA_addition,FALSE,TRUE,ASCL1,FALSE
ASPN,-0.7963330759003191,7.814344333615853e-8,ASPN,TRUE,FALSE,downregulated,FALSE,FALSE,ASPN,FALSE
ATF3,-0.3547554065014117,0.3335010143189914,ATF3,FALSE,FALSE,RNEA_addition,TRUE,FALSE,ATF3,FALSE
ATP9A,-1.1886310502167052,1.0003967870951109e-8,ATP9A,TRUE,FALSE,downregulated,FALSE,FALSE,ATP9A,FALSE
BAMBI,1.086521648014073,1.617319942562933e-66,BAMBI,TRUE,FALSE,upregulated,FALSE,TRUE,BAMBI,TRUE
BAMBI.1,0.7906171584394829,6.958241596787157e-19,BAMBI,TRUE,FALSE,upregulated,FALSE,TRUE,BAMBI,TRUE
BCAT1,-1.0461912561240954,2.441786617812571e-17,BCAT1,TRUE,FALSE,downregulated,FALSE,FALSE,BCAT1,FALSE
BCL6,0.6245158615972007,7.657730634397441e-5,BCL6,FALSE,FALSE,RNEA_addition,FALSE,FALSE,BCL6,FALSE
BIRC1,-0.752349118758461,7.449093198096963e-15,BIRC1,TRUE,FALSE,downregulated,FALSE,FALSE,BIRC1,FALSE
BMP1,0.11931345391512646,1.0951190883376413e-13,BMP1,FALSE,FALSE,RNEA_addition,FALSE,TRUE,BMP1,FALSE
BMP2.1,1.199583211558617,1.3844673845404256e-61,BMP2,TRUE,FALSE,upregulated,FALSE,TRUE,BMP2,TRUE
BMP4,0.39691673909476866,3.032040201423158e-8,BMP4,FALSE,TRUE,RNEA_addition,FALSE,TRUE,BMP4,TRUE
BMP7.2,1.580735871066717,2.1252119847656105e-27,BMP7,TRUE,FALSE,upregulated,FALSE,TRUE,BMP7,FALSE
BNIP3.1,2.270281497354278,8.480170423687647e-13,BNIP3,TRUE,FALSE,upregulated,FALSE,FALSE,BNIP3,FALSE
BPI,1.7259547498152945,2.2260310528938475e-11,BPI,TRUE,FALSE,upregulated,FALSE,FALSE,BPI,FALSE
BPI.1,-1.6426445453715484,2.496164236967429e-20,BPI,TRUE,FALSE,downregulated,FALSE,FALSE,BPI,FALSE
BRCA1,0.04395602887817884,0.3994549847470031,BRCA1,FALSE,FALSE,RNEA_addition,FALSE,TRUE,BRCA1,FALSE
BTK,-0.7554466106467003,2.0767758438868487e-20,BTK,TRUE,FALSE,downregulated,FALSE,FALSE,BTK,FALSE
CADM1,0.7988213006813774,1.479832548778081e-43,CADM1,TRUE,FALSE,upregulated,FALSE,FALSE,CADM1,FALSE
CALD1,1.2408280015279425,1.7162271722154294e-17,CALD1,TRUE,FALSE,upregulated,FALSE,FALSE,CALD1,FALSE
CAV1.1,2.8539426164203587,9.832837526688843e-16,CAV1,TRUE,FALSE,upregulated,FALSE,FALSE,CAV1,FALSE
CAV2.1,4.176389351199387,1.9874464017310867e-9,CAV2,TRUE,FALSE,upregulated,FALSE,FALSE,CAV2,FALSE
CCL20.1,-0.8072240450267274,2.3428887584639238e-4,CCL20,TRUE,FALSE,downregulated,FALSE,TRUE,CCL20,FALSE
CD151,1.3130332746118765,8.972504283114443e-11,CD151,TRUE,FALSE,upregulated,FALSE,FALSE,CD151,FALSE
CD22,-0.7864705058949868,7.930317245741462e-9,CD22,TRUE,FALSE,downregulated,FALSE,TRUE,CD22,FALSE
CD2AP.1,-0.7918555923593538,2.3581861756431374e-40,CD2AP,TRUE,FALSE,downregulated,FALSE,TRUE,CD2AP,FALSE
CD3G,-1.0756502189384491,3.54110187865329e-4,CD3G,TRUE,FALSE,downregulated,FALSE,FALSE,CD3G,FALSE
CD83,-1.440286239545646,4.1500996015290343e-13,CD83,TRUE,FALSE,downregulated,FALSE,FALSE,CD83,FALSE
CD83.1,-1.1493957869399802,3.3509301089065756e-5,CD83,TRUE,FALSE,downregulated,FALSE,FALSE,CD83,FALSE
CD9,-0.8281046309393039,1.4661225131836304e-46,CD9,TRUE,FALSE,downregulated,FALSE,FALSE,CD9,FALSE
CEBPA,-1.717652954372036,1.1501116605313264e-190,CEBPA,TRUE,FALSE,downregulated,TRUE,TRUE,CEBPA,TRUE
CEBPB,-0.8300044024710972,1.6632724874108789e-21,CEBPB,TRUE,FALSE,downregulated,TRUE,TRUE,CEBPB,FALSE
CERS2,-2.2922706122219596,7.4455034069288e-7,CERS2,TRUE,FALSE,downregulated,FALSE,FALSE,CERS2,FALSE
CREB1,0.30535021119359707,1.441246956775413e-4,CREB1,FALSE,FALSE,RNEA_addition,TRUE,TRUE,CREB1,TRUE
CRYAB,2.653801906154294,6.581922752460385e-8,CRYAB,TRUE,FALSE,upregulated,FALSE,FALSE,CRYAB,FALSE
CTNNB1,0.6194656418991812,9.203646070671363e-35,CTNNB1,FALSE,TRUE,RNEA_addition,FALSE,TRUE,CTNNB1,TRUE
DCK,2.0026234132996947,1.4132395836049676e-4,DCK,TRUE,FALSE,upregulated,FALSE,FALSE,DCK,FALSE
DKK1,0.9782688619042607,1.3297225369361652e-30,DKK1,TRUE,FALSE,upregulated,FALSE,TRUE,DKK1,TRUE
DKK4,1.3765380228926287,1.3320763369727387e-4,DKK4,TRUE,FALSE,upregulated,FALSE,TRUE,DKK4,TRUE
DLK1,2.68844204467027,9.003299507437176e-4,DLK1,TRUE,FALSE,upregulated,FALSE,TRUE,DLK1,FALSE
DLX4,1.1317581262255985,1.9337400425146948e-7,DLX4,TRUE,FALSE,upregulated,FALSE,FALSE,DLX4,FALSE
DNER,-1.2945163896088998,1.8745309917905474e-5,DNER,TRUE,FALSE,downregulated,FALSE,FALSE,DNER,FALSE
