Source,Target
FOXL1,BMP4
GLI1,SHH
PAX3,SHH
LEF1,EPHB2
LEF1,EPHB3
LEF1,LEF1
LEF1,LIMA1
LEF1,NCAM1
LEF1,NRCAM
LEF1,PITX2
LEF1,CEBPA
LEF1,OVOL1
LEF1,AR
LEF1,CTNNB1
CTNNB1,BAMBI
CTNNB1,BMP2
CTNNB1,BMP4
CTNNB1,DKK1
CTNNB1,DKK4
CTNNB1,DPEP1
CTNNB1,ENPP2
CTNNB1,EPHB2
CTNNB1,EPHB3
CTNNB1,ETV5
CTNNB1,FGF20
CTNNB1,FGF9
CTNNB1,FSCN1
CTNNB1,GLI2
CTNNB1,IGF2
CTNNB1,IHH
CTNNB1,IL8
CTNNB1,INHBB
CTNNB1,LBX1
CTNNB1,LEF1
CTNNB1,LIMA1
CTNNB1,MYCN
CTNNB1,NKD1
CTNNB1,NOTUM
CTNNB1,NRCAM
CTNNB1,PTX3
CTNNB1,RSPO2
CTNNB1,SGK1
CTNNB1,SOX10
CTNNB1,SP5
CTNNB1,TBX3
CTNNB1,VEGFA
CTNNB1,VEGFC
CTNNB1,WNT11
CTNNB1,CEBPA
CTNNB1,EMX2
CTNNB1,FRK
CTNNB1,KLF4
CTNNB1,MSLN
LEF1,E2F1
LEF1,IL4
LEF1,IL5
LEF1,MITF
LEF1,MYC
PITX2,LEF1
LEF1,RUNX2
SMAD7,LEF1
SOX2,DKK1
SOX2,FGF3
SOX2,ISL1
SOX2,SOX2
SOX2,AGR2
SOX2,NANOG
SOX9,SHH
SHH,GLI2
SP1,LEF1
PITX1,JUN
PITX1,RUNX1
PITX1,RUNX2
SHH,GLI
SHH,GLI3
GLI3,SHH
BMP4,SMAD1
BMP4,SMAD5
CREB1,PITX2
STAT3,SHH
SMAD3,LEF1
