Source,Target
GLI2,ABCA1
GLI2,BMP7
GLI2,FGF10
GLI2,FOXA2
GLI2,FOXC2
GLI2,FOXL1
GLI2,ATP9A
GLI2,FGF13
GLI2,SYTL2
GLI2,BCL6
GLI2,BMP1
BMP1,SMAD1
BMP7,SMAD1
GLI2,E2F1
E2F1,BNIP3
E2F1,DLK1
E2F1,FBN2
E2F1,FGFR1
E2F1,HIC1
E2F1,HMGA1
E2F1,MYCN
E2F1,VEGFA
E2F1,CD2AP
E2F1,MUC4
FOXA2,AGR2
FOXL1,BMP4
GLI2,GLI
GLI,FOXA2
GLI2,GLI1
GLI1,FBN2
GLI1,FOXA2
GLI1,FOXD1
GLI1,ID4
GLI1,IGF2
GLI1,KANK1
GLI1,PDE9A
GLI1,PLTP
GLI1,RBM24
GLI1,SGK1
GLI1,SHH
GLI1,DNER
GLI1,NPDC1
GLI1,PRDM8
GLI2,IL6
GLI2,JUN
JUN,ABCA1
JUN,ACE
JUN,HBB
JUN,HEY1
JUN,HMGA1
JUN,IGF2
JUN,IL8
JUN,KCNN3
JUN,LDHA
JUN,MBP
JUN,MGP
JUN,PTX3
JUN,STMN1
JUN,TFPI2
JUN,VCAM1
JUN,VEGFA
JUN,CD22
JUN,ELN
JUN,GGT1
JUN,HEXB
JUN,MMP20
JUN,MUC4
JUN,SOX7
JUN,STAT1
JUN,TTPA
GLI2,MYC
MYC,DKK1
MYC,ENDOU
MYC,IGK
MYC,LDHA
MYC,NCAM1
MYC,TPM1
MYC,VEGFA
MYC,BCAT1
MYC,CEBPA
MYC,KLF7
GLI2,PAX3
PAX3,SHH
GLI2,TEAD1
TEAD1,VEGFA
TEAD1,MSLN
GLI2,VDR
VDR,DKK4
LEF1,EPHB2
LEF1,EPHB3
LEF1,LEF1
LEF1,LIMA1
LEF1,NCAM1
LEF1,NRCAM
LEF1,PITX2
LEF1,CEBPA
LEF1,OVOL1
LEF1,AR
AR,FHL2
AR,VEGFA
AR,MUC1
AR,TRPV3
CEBPA,ACE
CEBPA,ANK1
CEBPA,EPO
CEBPA,FOXA2
CEBPA,HBB
CEBPA,ID1
CEBPA,IGF2
CEBPA,MMP11
CEBPA,ABCA3
CEBPA,CD22
CEBPA,CEBPA
CEBPA,ELN
CEBPA,G6PC
LEF1,CTNNB1
CTNNB1,BAMBI
CTNNB1,BMP2
CTNNB1,BMP4
CTNNB1,DKK1
CTNNB1,DKK4
CTNNB1,DPEP1
CTNNB1,ENPP2
CTNNB1,EPHB2
CTNNB1,EPHB3
CTNNB1,ETV5
CTNNB1,FGF20
CTNNB1,FGF9
CTNNB1,FSCN1
CTNNB1,GLI2
CTNNB1,IGF2
CTNNB1,IHH
CTNNB1,IL8
CTNNB1,INHBB
CTNNB1,LBX1
CTNNB1,LEF1
CTNNB1,LIMA1
CTNNB1,MYCN
CTNNB1,NKD1
CTNNB1,NOTUM
CTNNB1,NRCAM
CTNNB1,PTX3
CTNNB1,RSPO2
CTNNB1,SGK1
CTNNB1,SOX10
CTNNB1,SP5
CTNNB1,TBX3
CTNNB1,VEGFA
CTNNB1,VEGFC
CTNNB1,WNT11
CTNNB1,CEBPA
CTNNB1,EMX2
CTNNB1,FRK
CTNNB1,KLF4
CTNNB1,MSLN
LEF1,E2F1
LEF1,IL4
IL4,STAT1
LEF1,IL5
IL5,STAT2
LEF1,MITF
MITF,CADM1
LEF1,MYC
PITX2,LEF1
LEF1,RUNX2
RUNX2,IHH
RUNX2,NELL1
RUNX2,SMAD6
RUNX2,SP7
RUNX2,VEGFA
RUNX2,VEGFC
MYCN,LRRN3
MYCN,HDAC2
HDAC2,MYCN
HDAC2,KLF4
MYCN,ID2
ID2,MYCN
MYCN,TP53
TP53,DKK1
TP53,GLI2
TP53,IGF2
TP53,IL8
TP53,VEGFA
TP53,CEBPA
SMAD1,BAMBI
SMAD1,HEY1
SMAD1,ID1
SMAD1,PDGFA
SMAD1,AHR
HEY1,BMP2
SMAD1,ID2
SMAD1,ID3
ID3,VEGFA
SMAD1,MYC
SMAD1,PPARG
PPARG,CEBPA
PPARG,KLF4
SMAD1,SMAD7
SMAD7,LEF1
SOX2,DKK1
SOX2,FGF3
SOX2,ISL1
SOX2,SOX2
SOX2,AGR2
ISL1,FGF10
SOX2,NANOG
NANOG,DKK1
NANOG,LAMB1
NANOG,NR0B1
SOX9,SHH
SOX9,SOX10
SOX9,KLF4
SOX9,AR
SOX9,MITF
SOX9,SF1
SF1,SOX9
SHH,GLI2
SOX10,EDNRB
SOX10,MAG
SOX10,MBP
SOX10,PMP22
BRCA1,VEGFA
IL1B,SMAD1
IL1B,CEBPA
HMGA1,SP1
SP1,ABCA1
SP1,ACTC
SP1,BMP2
SP1,CAV1
SP1,CD151
SP1,CRYAB
SP1,DCK
SP1,DLK1
SP1,EDNRB
SP1,EPO
SP1,FBLN1
SP1,FGFR1
SP1,HBEGF
SP1,HMGA1
SP1,HSPB1
SP1,ID4
SP1,IGF2
SP1,LAMA1
SP1,LDHA
SP1,LEF1
SP1,LIPE
SP1,LOXL4
SP1,MBP
SP1,MMP11
SP1,MMRN1
SP1,MYCN
SP1,NCAM1
SP1,PDGFA
SP1,PDGFB
SP1,PSIP1
SP1,PTX3
SP1,SGK1
SP1,SOX9
SP1,TFPI2
SP1,VEGFA
SP1,ABCG2
SP1,ASPN
SP1,BTK
SP1,CCL20
SP1,CD22
SP1,CD2AP
SP1,CD83
SP1,CD9
SP1,CERS2
SP1,EVPL
SP1,FGFR3
SP1,GPR39
SP1,MUC2
SP1,MUC4
SP1,MUC5B
SP1,NOS1
SOX10,MITF
PITX1,JUN
PITX1,RUNX1
RUNX1,BPI
RUNX1,FHL2
RUNX1,NCAM1
RUNX1,VEGFA
RUNX1,KLF4
PITX1,RUNX2
SATB1,IL4
SATB1,IL5
NR1H4,VEGFA
PGR,IHH
PGR,VEGFA
BMP2,SMAD1
SOX4,NCAM1
MAF,IL4
MAF,IL5
FOXF2,BAMBI
NFKB1,BMP2
NFKB1,IL8
NFKB1,NCAM1
NFKB1,PTX3
NFKB1,VEGFA
NFKB1,VEGFC
NFKB1,CEBPA
ERG,WNT11
ISL1,MEF2C
MEF2C,VEGFA
SHH,GLI
SHH,GLI3
GLI3,FOXA2
GLI3,SHH
BMP7,SMAD5
SMAD5,HEY1
SMAD5,ID1
BMP4,SMAD1
BMP4,SMAD5
BMP2,SMAD5
ASCL1,DKK1
ASCL1,IGF2
GRIP1,AR
MYB,CEBPA
CEBPA,BRCA1
CEBPA,CREB1
CREB1,INHBA
CREB1,KCNN3
CREB1,LDHA
CREB1,LYL1
CREB1,PITX2
CREB1,PMP22
CREB1,SMAD6
CREB1,SOX9
CREB1,STMN1
CREB1,CEBPA
CREB1,CEBPB
CREB1,ELN
CREB1,G6PC
CREB1,GGT1
CREB1,MUC1
CREB1,MUC4
CREB1,MUC5B
CREB1,NOS1
CEBPA,IL4
CEBPA,IL5
CEBPA,IL6
CEBPA,JUN
CEBPA,MYB
CEBPA,MYC
CEBPA,NFKB1
CEBPA,NFYA
CEBPA,NFYB
CEBPA,NFYC
CEBPA,PPARG
CEBPA,RB1
CEBPA,SP1
CEBPA,SPI1
CEBPA,SRF
CEBPA,TP53
CEBPA,UHRF1
UHRF1,VEGFA
STAT1,IL8
STAT1,JUN
STAT1,MYC
STAT2,IL8
STAT1,STAT3
STAT3,HSPB1
STAT3,NR0B1
STAT3,SHH
STAT3,SMAD1
STAT3,VEGFA
STAT3,CCL20
STAT3,CEBPB
STAT3,IRF1
STAT3,MUC1
STAT3,MUC4
STAT3,UCP2
CEBPB,IGF2
CEBPB,IL8
CEBPB,CEBPA
CEBPB,IL4
CEBPB,IL5
CEBPB,SMAD3
SMAD3,BAMBI
SMAD3,EPO
SMAD3,FOXA2
SMAD3,GLI2
SMAD3,HEY1
SMAD3,LEF1
SMAD3,VEGFA
SMAD4,BAMBI
SMAD4,IHH
XBP1,VEGFA
IRF1,E2F1
KLF4,ATF3
KLF4,IL1B
KLF4,IL6
KLF4,NANOG
KLF4,RARA
RARA,IL8
RARA,MYCN
KLF4,TP53
KLF4,VDR
FOXQ1,RSPO2
FOXQ1,VEGFA
SOX7,FGF3
