Gene,Cluster,Assigned Tissue
FOXD2.1,1,SL
ESM1,1,SL
SERB,1,SL
ETV5,1,SL
CRIM1,1,SL
BTBD6,1,SL
EPHB2,1,SL
MC6ZA,1,SL
DTNA,1,SL
RAC3,1,SL
SMD1,1,SL
MYCN.1,1,SL
PTC1,1,SL
PTC1.1,1,SL
FOXL1.1,1,SL
KPYM,1,SL
NEP,1,SL
NEP.1,1,SL
FUBP1,1,SL
EGFL8,1,SL
ARH,1,SL
PAX9,1,SL
PGAM2,1,SL
SMAD6,1,SL
CNTFR,1,SL
HNRPL,1,SL
LAMC3.1,1,SL
MYCBP,1,SL
CYYR1,1,SL
ISL1,1,SL
FHDC1,1,SL
FXI1C,1,SL
SOX9,1,SL
PSIP1,1,SL
DNMT1,1,SL
SOX3,1,SL
NCKX2,1,SL
SX21B,1,SL
ASPH,1,SL
PACN3,1,SL
PLTP,1,SL
TMEM9,1,SL
41,1,SL
EGFL6,1,SL
KHDR1,1,SL
NNMT,1,SL
SDK2,1,SL
NKD1,1,SL
FGF3,1,SL
TUTLA,1,SL
SET.1,1,SL
TGIF2,1,SL
LYPD6,1,SL
GHC2,1,SL
ADCY8,1,SL
VEGFA.1,1,SL
FBLN1,1,SL
TP4A1,1,SL
SHH,1,SL
NUDT4,1,SL
PA2G3.1,1,SL
P3C2A,1,SL
RAN,1,SL
RSLBB,1,SL
LAMA2,1,SL
LAMA5,1,SL
SAPC2.2,1,SL
FZD8,1,SL
RASF9,1,SL
PORED,1,SL
SPY4,1,SL
S6A15,1,SL
CDT1,1,SL
PDGFA.1,1,SL
KTHY,1,SL
THS7A,1,SL
FGF20,1,SL
MMP11,1,SL
LARG1,1,SL
MBPHL,1,SL
FOXL1,1,SL
ZO1,1,SL
ILEU.1,1,SL
RGAP1,1,SL
HHIP,1,SL
ASCL5,1,SL
PITX1,1,SL
WFKN2,1,SL
STMN1,1,SL
MYCN.2,1,SL
E41LA,1,SL
APT,1,SL
RFC3,1,SL
SC6A8.1,1,SL
PLVAP,1,SL
OBSL1.2,1,SL
XCT.1,1,SL
NR0B1,1,SL
FOXF2,1,SL
HMGN1,1,SL
FREM2,1,SL
CXA4,1,SL
CALC,1,SL
DNJC9,1,SL
TSN7.1,1,SL
BZW2,1,SL
SIA4C,1,SL
LAMC3,1,SL
PGK,1,SL
HEY2,1,SL
KALM,1,SL
ETS1A,1,SL
MCM7A,1,SL
MARCS,1,SL
EIF3E,1,SL
MAML3,1,SL
ROBO1,1,SL
VAV,1,SL
RPGFL,1,SL
ANK1.1,2,SL
ODF3A,2,SL
LAMC1.1,2,SL
TBX22,2,SL
DRS7C,2,SL
LYAM3,2,SL
CAC1S.1,2,SL
MYOZ2.1,2,SL
FXD3A,2,SL
SOAT,2,SL
PRVA.1,2,SL
TGM2.3,2,SL
CCG1,2,SL
G3P,2,SL
VGFR1,2,SL
MYCD.1,2,SL
RGS5,2,SL
UN45B,2,SL
COIA1,2,SL
PGM5,2,SL
CRDL1,2,SL
HHATL,2,SL
RAMP1.1,2,SL
AT1B4,2,SL
HSPB1,2,SL
NCAM1.1,2,SL
BTBBA,2,SL
CRYAB,2,SL
AHNK.2,2,SL
HSPB8,2,SL
NEBU,2,SL
PPM1K.1,2,SL
COE3.1,2,SL
CCDC3,2,SL
SX17A,2,SL
TFPI2,2,SL
VGFR2,2,SL
PLPP3,2,SL
MLRS,2,SL
PRVA,2,SL
TNNI2,2,SL
KCNA2,2,SL
RYR1.3,2,SL
RYR3.1,2,SL
SOX10,2,SL
F167A.1,2,SL
S17AB,2,SL
S47A1,2,SL
G3ST1,2,SL
ZP3,2,SL
ADT1,2,SL
TICN3,2,SL
RENI,2,SL
GRM7,2,SL
CAV2.1,2,SL
TBX15,2,SL
ACTN3,2,SL
EF1A2,2,SL
BHMT1,2,SL
TIE2,2,SL
CGT,2,SL
MYOZ1,2,SL
KLH41,2,SL
MYH4.2,2,SL
KCRM.2,2,SL
DS13B,2,SL
TITIN.1,2,SL
LDB3,2,SL
TNNT3.1,2,SL
LGI1,2,SL
TXLNB,2,SL
MYPC1,2,SL
SMYD1,2,SL
AT2A1,2,SL
TM182.1,2,SL
NDKA,2,SL
MPSF,2,SL
SFRP3,2,SL
MYH4.1,2,SL
KANK1,2,SL
SGCG,2,SL
GLDN,2,SL
SRCA,2,SL
TIE2.1,2,SL
CD151,2,SL
EST2E,2,SL
ADIPO,2,SL
SBSPO,2,SL
ACTM,2,SL
TPM1.1,2,SL
TPM3.1,2,SL
MYCT1,2,SL
TECR,2,SL
CASQ1,2,SL
TMOD4,2,SL
PPR1C,2,SL
OBSCN,2,SL
C1T9A,2,SL
PYGM,2,SL
DUPD1,2,SL
DAF2,2,SL
NELL1,2,SL
AGRE1.2,2,SL
ENOB,2,SL
ACTC.1,2,SL
DMA,2,SL
NRX1A,2,SL
NAR5,2,SL
SC6A1,2,SL
MAG.3,2,SL
MYOM2,2,SL
RL3,2,SL
MYL1,2,SL
MOXD1,3,SL
SAMC,3,SL
FOXD1,3,SL
LAP2B.1,3,SL
CO7,3,SL
ST2B1,3,SL
FA8.2,3,SL
NIT2,3,SL
CELF2,3,SL
AUHM,3,SL
PP14A,3,SL
SYT1.3,3,SL
GREM1.1,3,SL
FXYD6,3,SL
NLK,3,SL
SH3BG,3,SL
RS27,3,SL
RS5,3,SL
MKRN1,3,SL
RUXF,3,SL
YES,3,SL
TM38A,3,SL
FBLN3,3,SL
CALRL,3,SL
SOX2,3,SL
SX18A,3,SL
C1QC,3,SL
IGSF1.1,3,SL
NDUC1,3,SL
TOX,3,SL
ICT1,3,SL
KCNS2,3,SL
EPAS1,3,SL
LDHA.1,3,SL
C1QA,3,SL
GEMI,3,SL
STC1,3,SL
HAT1,3,SL
CAV1.1,3,SL
ALKL2,3,SL
AT1A2,3,SL
EIF3I,3,SL
SASB,3,SL
ADML.1,3,SL
LIPH,3,SL
ADA2C.1,3,SL
CP26A,3,SL
ENPP2,3,SL
CP1A1,3,SL
CALCB,3,SL
TEN2,3,SL
COT2,3,SL
FBLN5,3,SL
S27A6,3,SL
KI21A,3,SL
RDH10,3,SL
CYTM1,3,SL
LGR6,3,SL
LRIG3,3,SL
TPA,3,SL
SLBP,3,SL
FHL2,3,SL
PLEC.2,3,SL
IL8.2,3,SL
MBP.1,3,SL
MYH16,3,SL
COL10,3,SL
HAAF,3,SL
FOXL2.1,3,SL
PDE7B,3,SL
CO6,3,SL
LARP4,3,SL
TLE1,3,SL
ENDD1.2,3,SL
RPGP1,3,SL
MMEL1,3,SL
GATA2,4,BHTB
P2RX4,4,BHTB
SOX7,4,BHTB
TWST2,4,BHTB
NLRC3.6,4,BHTB
P2RX1,4,BHTB
MYB,4,BHTB
HXA2.2,4,BHTB
CORO6,4,BHTB
PLSI,4,BHTB
TCB.2,4,BHTB
HSPB7,4,BHTB
HPGDS,4,BHTB
LAMB4,4,BHTB
CAH13.1,4,BHTB
COTL1,4,BHTB
LIN1.88,4,BHTB
MED19,4,BHTB
A33.22,4,BHTB
CCKAR.1,4,BHTB
ANO7,4,BHTB
VATG3,4,BHTB
CNFNA,4,BHTB
PLPP3.1,4,BHTB
CLD1,4,BHTB
PTN6,4,BHTB
CATH,4,BHTB
GCM1,4,BHTB
KPCA,4,BHTB
KPCA.1,4,BHTB
IGG2A,4,BHTB
ABR,4,BHTB
LYN,4,BHTB
HCK.1,4,BHTB
GRAK.5,4,BHTB
A33.35,4,BHTB
K1324,4,BHTB
FR1L6,4,BHTB
HBA,4,BHTB
CKLF8,4,BHTB
LECA.2,4,BHTB
AGRL3,4,BHTB
INSI1,4,BHTB
STXB6,4,BHTB
NOTC1.1,4,BHTB
RAC1,4,BHTB
HCD2,4,BHTB
SPS1,4,BHTB
IGL1.2,4,BHTB
GRAK,4,BHTB
CERS6.1,4,BHTB
ETHE1,4,BHTB
ADSV.1,4,BHTB
RBTN1,4,BHTB
S35F3,4,BHTB
RBP,4,BHTB
A33.29,4,BHTB
KGUA,4,BHTB
HBB,4,BHTB
QSOX1,4,BHTB
TCB,4,BHTB
EFC4B,4,BHTB
CHST5,4,BHTB
FCERG,4,BHTB
HMX2,4,BHTB
HES1B,4,BHTB
DHSO,4,BHTB
AGRG6.1,4,BHTB
FXA1A,4,BHTB
CCL19,4,BHTB
SEM3A.2,4,BHTB
AQP3.1,4,BHTB
MRPA,4,BHTB
PSD3.1,4,BHTB
DMRT2,4,BHTB
TFR2,4,BHTB
CCD22,4,BHTB
UROM.1,4,BHTB
TRXR3,4,BHTB
WDR18,4,BHTB
PCAT2,4,BHTB
MLKL.1,4,BHTB
KV13,4,BHTB
GRK5.1,4,BHTB
SPIB,4,BHTB
FGFR3.1,4,BHTB
ALG12,4,BHTB
FFAR2,4,BHTB
TRPV3,4,BHTB
S3TC1,4,BHTB
CD22,4,BHTB
RARB,4,BHTB
PEAMT,4,BHTB
PK3CG.2,4,BHTB
SAP.1,4,BHTB
PTPRC,4,BHTB
K1C18,4,BHTB
RPGF3,4,BHTB
TRAR1,4,BHTB
HXA3,4,BHTB
PAX1,4,BHTB
PLSL,4,BHTB
S22AV,4,BHTB
CCL11,4,BHTB
TNIP1,4,BHTB
RN166,4,BHTB
CAPS1,4,BHTB
TO4AA,4,BHTB
HPRT,4,BHTB
NUCKS,4,BHTB
GRAP,4,BHTB
ADIPO.1,4,BHTB
PERT.1,4,BHTB
PODN.1,4,BHTB
HECA2.6,4,BHTB
ONCO,4,BHTB
PRDX1,4,BHTB
PCD10.10,4,BHTB
HARB1.14,4,BHTB
FXI1E,4,BHTB
PO2F3,5,BHTB
AP1M,5,BHTB
AGRF5.3,5,BHTB
NFIP1,5,BHTB
SPAS2,5,BHTB
CT027,5,BHTB
SLIK6,5,BHTB
ANR22,5,BHTB
IF44L,5,BHTB
TECTA.5,5,BHTB
B2MG,5,BHTB
SEGN,5,BHTB
STXB,5,BHTB
AGRF5,5,BHTB
GTR11,5,BHTB
INS1B,5,BHTB
YAF2,5,BHTB
OVOL1,5,BHTB
NPAL2,5,BHTB
MYO15,5,BHTB
M4K3,5,BHTB
TRPM5,5,BHTB
PRDX3,5,BHTB
EPN2,5,BHTB
CLTR2,5,BHTB
CMGA.1,5,BHTB
AGRF5.1,5,BHTB
DMBT1,5,BHTB
MUC17,5,BHTB
BDNF,5,BHTB
RAB7A,5,BHTB
EFC4A,5,BHTB
PLCB2,5,BHTB
PLCB2.1,5,BHTB
FRG1,5,BHTB
GPC6A.4,5,BHTB
GARE1.1,5,BHTB
TS1R1.1,5,BHTB
MYO9A,5,BHTB
KOZA,5,BHTB
ETV7,5,BHTB
AASS,5,BHTB
GILT,5,BHTB
CLAT,5,BHTB
MAOX,5,BHTB
UQCC2,5,BHTB
F167A,5,BHTB
LORF2.342,5,BHTB
CYTN,5,BHTB
OSBL1,5,BHTB
TM117,5,BHTB
PHLB3,5,BHTB
TBCD9,5,BHTB
TTPA,5,BHTB
ARF3.1,5,BHTB
S2540,5,BHTB
BI1,5,BHTB
CIRBP.3,5,BHTB
SYPL2,5,BHTB
ENTP8,5,BHTB
MUC2.1,5,BHTB
DUOX2,5,BHTB
OCAD2,5,BHTB
KAD2,5,BHTB
ARCH,5,BHTB
SOX13,5,BHTB
LECA.1,5,BHTB
TTL12,5,BHTB
TRI58,5,BHTB
KAPCA,5,BHTB
LORF2.311,5,BHTB
MUC19.6,5,BHTB
FCGBP,5,BHTB
S6A14,5,BHTB
AGRF3,5,BHTB
H33.1,5,BHTB
KCNC4,5,BHTB
LX15B,5,BHTB
PTPRF,5,BHTB
HA1F,5,BHTB
SNXAA,5,BHTB
MIC26,5,BHTB
CHM1A,5,BHTB
PUR8,5,BHTB
CK024,5,BHTB
NR3L1.4,5,BHTB
POP1,5,BHTB
GNS,5,BHTB
UBP43,5,BHTB
TSN8,5,BHTB
PPR3B,5,BHTB
TS1R1,5,BHTB
BCAP.1,5,BHTB
GBRAP,5,BHTB
C1QT1,5,BHTB
BAP29,5,BHTB
TM50B,5,BHTB
MLP3A,5,BHTB
GRM2B,5,BHTB
A33.30,5,BHTB
UPK3A,5,BHTB
PCDH1,5,BHTB
OPN3,5,BHTB
GP2,5,BHTB
IBP7,5,BHTB
ZN503,5,BHTB
FOXE1,5,BHTB
PNRC1,5,BHTB
GSTP1.1,5,BHTB
CAM2B,5,BHTB
HMX3,5,BHTB
BLNK.1,5,BHTB
TBX1,5,BHTB
GRIN1,5,BHTB
THA2,5,BHTB
CP1B1.1,5,BHTB
PLCB4,5,BHTB
FOXA2,5,BHTB
PK1L2.2,5,BHTB
TMPS6.2,5,BHTB
TS1R3,5,BHTB
G6PI,5,BHTB
KLF5.1,5,BHTB
DCE1,5,BHTB
TBA3,5,BHTB
KLF5,5,BHTB
BCAP,5,BHTB
B4GT1,5,BHTB
RN223.1,5,BHTB
ITLN1,5,BHTB
TACC2,5,BHTB
MUC1,5,BHTB
ANKE1,5,BHTB
SKA2A,5,BHTB
GSTP1,5,BHTB
LECA.3,5,BHTB
HB2D.1,5,BHTB
RHBGA,5,BHTB
BC11A,5,BHTB
SC6A4,5,BHTB
RHG27,5,BHTB
LHPP,5,BHTB
CBPA1,5,BHTB
TRPV3.1,5,BHTB
BC11A.1,5,BHTB
PPA5,5,BHTB
MTFP1,5,BHTB
AGR3.1,5,BHTB
FEL,5,BHTB
FBLN2.1,5,BHTB
LPAR6,5,BHTB
P2RY4,5,BHTB
