"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0002376",1.31658172533592e-15,1.95610463032334,131.548634590377,220,1863,"immune system process",7.41235511364125e-13
"GO:0006955",6.38712186906379e-14,2.06841674081681,89.1113133940182,160,1262,"immune response",1.79797480614146e-11
"GO:0043207",3.73076857977506e-12,2.10799102198438,69.1989596879064,128,980,"response to external biotic stimulus",5.2510567760334e-10
"GO:0051707",3.73076857977506e-12,2.10799102198438,69.1989596879064,128,980,"response to other organism",5.2510567760334e-10
"GO:0050896",1.26313536770484e-11,1.52625430938684,462.079583875163,568,6544,"response to stimulus",1.42229042403565e-09
"GO:0009607",1.75663372211628e-11,2.05156623973476,70.7524057217165,128,1002,"response to biotic stimulus",1.64830797591911e-09
"GO:0044419",5.51246658681998e-11,1.95834559905799,79.5788036410923,138,1127,"biological process involved in interspecies interaction between organisms",4.43359812625664e-09
"GO:0006952",9.49095489551014e-11,1.95423912193341,77.8841352405722,135,1103,"defense response",6.67925950771526e-09
"GO:0009605",1.89068893020509e-10,1.72507444842655,130.913133940182,200,1854,"response to external stimulus",1.18273096411718e-08
"GO:0098542",6.75831551416118e-10,2.10545709609539,52.8877763328999,99,749,"defense response to other organism",3.80493163447275e-08
"GO:0019882",1.32093176203548e-09,4.3380376344086,8.6851755526658,30,123,"antigen processing and presentation",6.76076892750887e-08
"GO:0002757",1.45963433876622e-08,2.49057399716892,25.9849154746424,57,368,"immune response-activating signaling pathway",6.84811777271152e-07
"GO:0002764",3.99036520374821e-08,2.38743072750855,27.3971391417425,58,388,"immune response-regulating signaling pathway",1.72813508439249e-06
"GO:0032101",6.37645317966989e-08,1.95118404522613,51.6167750325098,91,731,"regulation of response to external stimulus",2.56424510011011e-06
"GO:0045087",9.1627664459157e-08,2.02547676901554,43.778933680104,80,620,"innate immune response",3.43909167270036e-06
"GO:0002429",1.20331583053741e-07,2.76485167464115,17.0172951885566,41,241,"immune response-activating cell surface receptor signaling pathway",4.23416757870351e-06
"GO:0002253",1.43760248257447e-07,2.25065425995929,29.7979193758127,60,422,"activation of immune response",4.76100116287897e-06
"GO:0001775",2.35688015820535e-07,1.80790512409206,63.1970091027308,104,895,"cell activation",7.37179738372008e-06
