"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0009653",6.11330342322517e-33,2.69152046783626,129.395838751625,263,2372,"anatomical structure morphogenesis",5.63035245279039e-30
"GO:0007275",8.04517857189509e-32,2.36272408020514,229.715799739922,384,4211,"multicellular organism development",3.70480473235769e-29
"GO:0001501",1.81732953616855e-31,5.30368747718145,23.0206762028609,92,422,"skeletal system development",5.57920167603744e-29
"GO:0048731",1.73517695787725e-30,2.41540435386331,178.764824447334,320,3277,"system development",3.99524494551237e-28
"GO:0048856",5.42317315473655e-30,2.26344012874122,272.429518855657,427,4994,"anatomical structure development",9.98948495102472e-28
"GO:0032502",1.96285577021828e-29,2.23700637987178,289.504096228869,444,5307,"developmental process",3.01298360728506e-27
"GO:0048513",3.75017005922132e-28,2.4843303242123,134.360013003901,258,2463,"animal organ development",4.93415232077548e-26
"GO:0032501",1.7254529166209e-26,2.13426197558519,318.30721716515,466,5835,"multicellular organismal process",1.98642767025981e-24
"GO:0001503",3.8215193959364e-26,5.37634342971949,18.0565019505852,74,331,"ossification",3.91068818184158e-24
"GO:0009887",4.92009835438214e-25,3.23483779971791,49.6417425227568,130,910,"animal organ morphogenesis",4.53141058438595e-23
"GO:0030198",2.27248910674061e-24,5.41598615030922,16.4199609882965,68,301,"extracellular matrix organization",1.90269315209828e-22
"GO:0043062",2.78558733058687e-24,5.39246399946789,16.4745123537061,68,302,"extracellular structure organization",2.13793827622542e-22
"GO:0035295",6.52912599402998e-24,3.17264937723195,49.1507802340702,127,901,"tube development",4.6256346465397e-22
"GO:0048646",1.61912894373283e-23,3.03492473331844,54.0604031209363,134,991,"anatomical structure formation involved in morphogenesis",1.06515554084138e-21
"GO:0009888",3.52011161048479e-23,2.57587193746791,86.4093628088427,181,1584,"tissue development",2.16134852883766e-21
"GO:0035239",7.40774689579735e-23,3.30500796117977,41.8408972691808,113,767,"tube morphogenesis",4.26408430689335e-21
"GO:0051216",4.53533160857077e-22,6.86507142380666,9.98289986996099,50,183,"cartilage development",2.45708259499628e-20
"GO:0048705",5.40192670701963e-22,6.34106670658085,11.2375812743823,53,206,"skeletal system morphogenesis",2.76398583175838e-20
"GO:0045229",6.90547871785184e-22,4.788132542301,18.0565019505852,68,331,"external encapsulating structure organization",3.3473399469166e-20
"GO:0050793",1.32452534805716e-21,2.36361017195623,105.447789336801,203,1933,"regulation of developmental process",6.09943922780324e-20
"GO:0060348",1.67292166527691e-21,6.6140408883011,10.2556566970091,50,188,"bone development",7.3369564462859e-20
"GO:0030154",2.50013174749459e-21,2.08016749129735,184.547269180754,301,3383,"cell differentiation",1.0011397128011e-19
"GO:0048869",2.50013174749459e-21,2.08016749129735,184.547269180754,301,3383,"cellular developmental process",1.0011397128011e-19
"GO:0061448",1.13151095465136e-20,5.59704506802721,12.8195708712614,55,235,"connective tissue development",4.3421732884746e-19
"GO:0001568",1.25292119816905e-20,3.42923464343097,33.6581924577373,95,617,"blood vessel development",4.61576169405477e-19
"GO:0001944",2.92721475210721e-20,3.33177205308353,35.2401820546164,97,646,"vasculature development",1.03690953334259e-18
"GO:0007155",1.26134995588351e-19,2.48185373989852,76.9719765929779,159,1411,"cell adhesion",4.30260484951376e-18
"GO:0001649",5.79118074188698e-19,6.71758577369607,8.67366710013004,43,159,"osteoblast differentiation",1.90488480831354e-17
"GO:0016477",7.91246941683873e-19,2.57780082417582,64.3160598179454,139,1179,"cell migration",2.51289114927878e-17
"GO:0072359",3.20910840576163e-18,2.66293808493297,55.7514954486346,125,1022,"circulatory system development",9.85196280568821e-17
"GO:0022603",4.21199578255813e-18,2.91594205802212,42.822821846554,105,785,"regulation of anatomical structure morphogenesis",1.25137035991485e-16
"GO:0060485",5.73069330398466e-18,5.23250732048424,12.2195058517555,50,224,"mesenchyme development",1.64936516655308e-16
"GO:0048762",8.11676518613311e-18,5.6800061764933,10.5284135240572,46,193,"mesenchymal cell differentiation",2.26531537467533e-16
"GO:0007399",1.05999375033954e-17,2.14740897798086,113.084980494148,202,2073,"nervous system development",2.87133601194917e-16
"GO:0045595",1.31013020878314e-17,2.51279924609823,63.6068920676203,135,1166,"regulation of cell differentiation",3.44751406368364e-16
"GO:0002062",1.40602014951152e-17,8.71422055174427,5.50968790637191,33,101,"chondrocyte differentiation",3.59706821583363e-16
"GO:0048514",3.44201898984655e-17,3.27902160480675,29.8395968790637,82,547,"blood vessel morphogenesis",8.56783645850993e-16
"GO:2000026",5.03221638260985e-17,2.51693737501618,60.4429128738622,129,1108,"regulation of multicellular organismal development",1.21965033904834e-15
"GO:0048699",1.06334209887661e-16,2.37006111107692,71.6259427828349,144,1313,"generation of neurons",2.51112326427015e-15
"GO:0048870",1.41809489760825e-16,2.37454813804781,70.4258127438231,142,1291,"cell motility",3.26516350174301e-15
"GO:0060349",2.76711419402565e-16,8.41443519351935,5.29148244473342,31,97,"bone morphogenesis",6.21588334804299e-15
"GO:0007178",2.94835150365728e-16,4.4097389243264,14.8379713914174,53,272,"transmembrane receptor protein serine/threonine kinase signaling pathway",6.46531365444846e-15
"GO:0045597",6.31815374692876e-16,2.95840443788547,35.0219765929779,88,642,"positive regulation of cell differentiation",1.3532603723073e-14
"GO:0022008",8.67600120123917e-16,2.23426533722906,81.4997399219766,155,1494,"neurogenesis",1.81604479689574e-14
"GO:0048729",2.49755768436614e-15,3.00455302551678,32.0762028608583,82,588,"tissue morphogenesis",5.11166806066937e-14
"GO:0051094",2.97397538364489e-15,2.48168180586427,54.4968140442133,116,999,"positive regulation of developmental process",5.95441593116726e-14
"GO:0060350",3.47972594235203e-15,10.6024043524044,3.65494148244473,25,67,"endochondral bone morphogenesis",6.81878211256642e-14
