GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,FDR
GO:0030574,1.46779885225061e-06,15.2216457702839,0.583615084525358,7,34,collagen catabolic process,0.00031117335667713
GO:0032963,7.3234824257708e-06,7.69667519181586,1.33888166449935,9,78,collagen metabolic process,0.000776289137131705
GO:0032940,1.26263097329453e-05,2.54134325632362,13.4403120936281,31,783,secretion by cell,0.000874382695537579
GO:2000147,1.68551299362343e-05,3.11534737351731,7.36384915474642,21,429,positive regulation of cell motility,0.000874382695537579
GO:0140352,2.43936121800892e-05,2.44864936338543,13.9037711313394,31,810,export from cell,0.000874382695537579
GO:0040017,2.53746654850016e-05,3.0238683127572,7.56983094928479,21,441,positive regulation of locomotion,0.000874382695537579
GO:0001934,2.90685061419445e-05,2.90948789202064,8.23927178153446,22,480,positive regulation of protein phosphorylation,0.000874382695537579
GO:0055088,3.36465090176848e-05,6.24124567474048,1.61352405721717,9,94,lipid homeostasis,0.000874382695537579
GO:0030335,3.71200200935765e-05,3.03113930307274,7.17503250975293,20,418,positive regulation of cell migration,0.000874382695537579
GO:0046849,4.66199369142282e-05,6.91544117647059,1.30455136540962,8,76,bone remodeling,0.000898570959608968
GO:0016477,5.5971730028985e-05,2.12500584795322,20.237711313394,39,1179,cell migration,0.000898570959608968
GO:0010562,6.10454300878458e-05,2.62851985559567,9.92145643693108,24,578,positive regulation of phosphorus metabolic process,0.000898570959608968
GO:0045937,6.10454300878458e-05,2.62851985559567,9.92145643693108,24,578,positive regulation of phosphate metabolic process,0.000898570959608968
GO:0032501,6.39683721479544e-05,1.62525704162229,100.158647594278,131,5835,multicellular organismal process,0.000898570959608968
GO:0030198,6.64523217243972e-05,3.35732880588568,5.1667100130039,16,301,extracellular matrix organization,0.000898570959608968
GO:0043062,6.91066197625368e-05,3.34536431310625,5.18387516254876,16,302,extracellular structure organization,0.000898570959608968
GO:0046903,7.20552184592097e-05,2.29880482222833,14.7276983094928,31,858,secretion,0.000898570959608968
GO:0042327,8.03655697100347e-05,2.70214338507021,8.82288686605982,22,514,positive regulation of phosphorylation,0.000946527821029297
GO:0002685,8.73480011592143e-05,4.87896141081538,2.24863459037711,10,131,regulation of leukocyte migration,0.000974619802408075
GO:0002283,0.000112509623791962,4.30895479412612,2.78075422626788,11,162,neutrophil activation involved in immune response,0.00119260201219479
GO:0002687,0.000133141253976019,5.8734375,1.51053315994798,8,88,positive regulation of leukocyte migration,0.00134409265918647
GO:0048870,0.000182501920272907,1.97913098092954,22.1602080624187,40,1291,cell motility,0.00162600637219674
GO:0023052,0.000186771374125183,1.59364520267381,79.5604681404421,107,4635,signaling,0.00162600637219674
GO:0002446,0.000190969814235258,4.03861733729409,2.95240572171652,11,172,neutrophil mediated immunity,0.00162600637219674
GO:0007154,0.000191746034457163,1.58919629627053,81.465799739922,109,4746,cell communication,0.00162600637219674
GO:0045229,0.000199559059148439,3.03143881208397,5.6816644993498,16,331,external encapsulating structure organization,0.00162717386690266
GO:0050900,0.000218115984929467,3.28983399209486,4.58309492847854,14,267,leukocyte migration,0.00166249464424825
GO:0050896,0.000219574764334675,1.55990522735151,112.328738621586,141,6544,response to stimulus,0.00166249464424825
GO:0065009,0.000228673083191717,1.80998201062628,31.8585175552666,52,1856,regulation of molecular function,0.00167167909091876
GO:2000145,0.000245760775523322,2.29443567820141,12.2387516254876,26,713,regulation of cell motility,0.00173670948036481
GO:0072124,0.000262717908697786,34.7379310344828,0.137321196358908,3,8,regulation of glomerular mesangial cell proliferation,0.00179665150464292
GO:0090170,0.00029354537553151,Inf,0.0343302990897269,2,2,regulation of Golgi inheritance,0.00190938802377936
GO:0042119,0.000297216060305277,3.82250639386189,3.10689206762029,11,181,neutrophil activation,0.00190938802377936
GO:0030334,0.000313308980869232,2.29474733493756,11.7409622886866,25,684,regulation of cell migration,0.00195357364541992
GO:0036230,0.000342196061502796,3.75546619753707,3.15838751625488,11,184,granulocyte activation,0.0020118316037224
GO:0048771,0.000343234202204144,4.48594217347956,2.17997399219766,9,127,tissue remodeling,0.0020118316037224
GO:0001932,0.000376022676586444,2.19139850541406,13.2858257477243,27,774,regulation of protein phosphorylation,0.0020118316037224
GO:0072110,0.000389080640342539,28.9463601532567,0.154486345903771,3,9,glomerular mesangial cell proliferation,0.0020118316037224
GO:1901722,0.000389080640342539,28.9463601532567,0.154486345903771,3,9,regulation of cell proliferation involved in kidney development,0.0020118316037224
GO:2001268,0.000389080640342539,28.9463601532567,0.154486345903771,3,9,negative regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,0.0020118316037224
GO:0070486,0.000389080640342539,28.9463601532567,0.154486345903771,3,9,leukocyte aggregation,0.0020118316037224
GO:0043312,0.000424804603620521,3.954711198013,2.72925877763329,10,159,neutrophil degranulation,0.00212736852092566
GO:0038127,0.000431494558489639,4.33770491803279,2.24863459037711,9,131,ERBB signaling pathway,0.00212736852092566
GO:0071677,0.000512539985128749,8.56347944583239,0.669440832249675,5,39,positive regulation of mononuclear cell migration,0.00241463281882877
GO:2000401,0.000512539985128749,8.56347944583239,0.669440832249675,5,39,regulation of lymphocyte migration,0.00241463281882877
GO:0040012,0.000541706619241988,2.16844972471747,12.8910273081925,26,751,regulation of locomotion,0.00247538564163181
GO:0032310,0.000548788326210826,24.8095238095238,0.171651495448635,3,10,prostaglandin secretion,0.00247538564163181
GO:0007188,0.000567275867864182,4.16553960166744,2.33446033810143,9,136,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,0.00250546841640014
