"GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term","FDR"
"GO:0016266",1.20409797992351e-08,18.0226550079491,0.645838751625488,9,43,"O-glycan processing",2.85371221241872e-06
"GO:1901137",1.65456927934925e-07,3.61117965265256,8.11053315994798,26,540,"carbohydrate derivative biosynthetic process",1.96066459602887e-05
"GO:0006493",1.18178022784215e-06,8.3142037302726,1.38179453836151,10,92,"protein O-linked glycosylation",8.96003856095736e-05
"GO:1901135",1.51224279509829e-06,2.86311696658098,12.1507802340702,31,809,"carbohydrate derivative metabolic process",8.96003856095736e-05
"GO:0044281",4.70317188457938e-06,2.36431686952187,19.6455136540962,41,1308,"small molecule metabolic process",0.000222930347329062
"GO:0043207",1.07494789843438e-05,2.49947201689546,14.7191157347204,33,980,"response to external biotic stimulus",0.000363946645612784
"GO:0051707",1.07494789843438e-05,2.49947201689546,14.7191157347204,33,980,"response to other organism",0.000363946645612784
"GO:0019752",1.3981694171899e-05,2.84391637958033,9.68758127438231,25,645,"carboxylic acid metabolic process",0.000401464772677023
"GO:0070085",1.63948512321766e-05,4.26006280331145,3.60468140442133,14,240,"glycosylation",0.000401464772677023
"GO:0009607",1.69394418851065e-05,2.43894048847609,15.049544863459,33,1002,"response to biotic stimulus",0.000401464772677023
"GO:0043436",2.05790042247771e-05,2.77387049919731,9.91287386215865,25,660,"oxoacid metabolic process",0.000438383089715794
"GO:0006082",2.21966121375085e-05,2.7602565663329,9.95793237971391,25,663,"organic acid metabolic process",0.000438383089715794
"GO:0006955",2.73185475360698e-05,2.239959023333,18.9546163849155,38,1262,"immune response",0.000498038135849888
"GO:0006952",4.81532953910646e-05,2.27319996391143,16.5665149544863,34,1103,"defense response",0.000740624273005612
"GO:0043413",4.99999509202101e-05,4.06539315487411,3.48452535760728,13,232,"macromolecule glycosylation",0.000740624273005612
"GO:0006486",4.99999509202101e-05,4.06539315487411,3.48452535760728,13,232,"protein glycosylation",0.000740624273005612
"GO:0098542",6.10645822702442e-05,2.53062105724792,11.2496098829649,26,749,"defense response to other organism",0.000790976037963095
"GO:0010944",6.46936053983486e-05,66.4298245614035,0.0901170351105332,3,6,"negative regulation of transcription by competitive promoter binding",0.000790976037963095
"GO:0021603",6.46936053983486e-05,66.4298245614035,0.0901170351105332,3,6,"cranial nerve formation",0.000790976037963095
"GO:0009101",6.67490327395017e-05,3.52104664391354,4.6260078023407,15,308,"glycoprotein biosynthetic process",0.000790976037963095
"GO:0006665",7.19911207262663e-05,5.59385073146541,1.77230169050715,9,118,"sphingolipid metabolic process",0.000812471219625006
"GO:0002376",0.000114745098978968,1.92696563247979,27.9813394018205,48,1863,"immune system process",0.00123611765718252
"GO:0009100",0.000127409833572583,3.1651430098904,5.46710013003901,16,364,"glycoprotein metabolic process",0.00131287524159575
"GO:0044419",0.000166875651682106,2.14122486288848,16.9269830949285,33,1127,"biological process involved in interspecies interaction between organisms",0.001565758624211
"GO:0003404",0.000224623600097781,Inf,0.030039011703511,2,2,"optic vesicle morphogenesis",0.001565758624211
"GO:0003409",0.000224623600097781,Inf,0.030039011703511,2,2,"optic cup structural organization",0.001565758624211
"GO:0002265",0.000224623600097781,Inf,0.030039011703511,2,2,"astrocyte activation involved in immune response",0.001565758624211
"GO:0002282",0.000224623600097781,Inf,0.030039011703511,2,2,"microglial cell activation involved in immune response",0.001565758624211
"GO:1905673",0.000224623600097781,Inf,0.030039011703511,2,2,"positive regulation of lysosome organization",0.001565758624211
"GO:0021557",0.000224623600097781,Inf,0.030039011703511,2,2,"oculomotor nerve development",0.001565758624211
"GO:0021622",0.000224623600097781,Inf,0.030039011703511,2,2,"oculomotor nerve morphogenesis",0.001565758624211
"GO:0021623",0.000224623600097781,Inf,0.030039011703511,2,2,"oculomotor nerve formation",0.001565758624211
"GO:0032417",0.000224623600097781,Inf,0.030039011703511,2,2,"positive regulation of sodium:proton antiporter activity",0.001565758624211
"GO:0106016",0.000224623600097781,Inf,0.030039011703511,2,2,"positive regulation of inflammatory response to wounding",0.001565758624211
"GO:0048584",0.000256907674431866,1.92474489795918,24.1814044213264,42,1610,"positive regulation of response to stimulus",0.0017396319668672
"GO:0002072",0.000371234031846664,28.4624060150376,0.150195058517555,3,10,"optic cup morphogenesis involved in camera-type eye development",0.00244395737632387
"GO:0044255",0.000410203483152443,2.34202894470098,10.6037711313394,23,706,"cellular lipid metabolic process",0.00262751960830079
"GO:0008637",0.000424163541812979,6.82033898305085,0.976267880364109,6,65,"apoptotic mitochondrial changes",0.00264544103709674
"GO:0045087",0.000443823711967946,2.42904841402337,9.31209362808843,21,620,"innate immune response",0.00269708255734367
"GO:1901566",0.000500531539455671,1.92749115699731,21.0423276983095,37,1401,"organonitrogen compound biosynthetic process",0.00284210372795495
"GO:0034312",0.000504798342465511,24.9029605263158,0.165214564369311,3,11,"diol biosynthetic process",0.00284210372795495
"GO:0042339",0.000504798342465511,24.9029605263158,0.165214564369311,3,11,"keratan sulfate metabolic process",0.00284210372795495
"GO:0031349",0.000540482851325613,2.98971774193548,5.01651495448635,14,334,"positive regulation of defense response",0.00284210372795495
"GO:0006643",0.000587321648240587,4.13734142305571,2.34304291287386,9,156,"membrane lipid metabolic process",0.00284210372795495
"GO:0052547",0.000599008691646014,3.27886890025857,3.92009102730819,12,261,"regulation of peptidase activity",0.00284210372795495
"GO:0023052",0.000617233805855599,1.57379913081768,69.6154096228869,93,4635,"signaling",0.00284210372795495
"GO:0044282",0.000630200419363976,3.47302325581395,3.39440832249675,11,226,"small molecule catabolic process",0.00284210372795495
"GO:2000378",0.000663210837242219,11.5885845623444,0.405526657997399,4,27,"negative regulation of reactive oxygen species metabolic process",0.00284210372795495
"GO:1904220",0.000667180879052298,132.296943231441,0.0450585175552666,2,3,"regulation of serine C-palmitoyltransferase activity",0.00284210372795495
"GO:1904222",0.000667180879052298,132.296943231441,0.0450585175552666,2,3,"positive regulation of serine C-palmitoyltransferase activity",0.00284210372795495
"GO:1904217",0.000667180879052298,132.296943231441,0.0450585175552666,2,3,"regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity",0.00284210372795495
"GO:1904219",0.000667180879052298,132.296943231441,0.0450585175552666,2,3,"positive regulation of CDP-diacylglycerol-serine O-phosphatidyltransferase activity",0.00284210372795495
"GO:0032415",0.000667180879052298,132.296943231441,0.0450585175552666,2,3,"regulation of sodium:proton antiporter activity",0.00284210372795495
"GO:1990858",0.000671551935719313,7.95775389801938,0.70591677503251,5,47,"cellular response to lectin",0.00284210372795495
"GO:1990840",0.000671551935719313,7.95775389801938,0.70591677503251,5,47,"response to lectin",0.00284210372795495
"GO:0002223",0.000671551935719313,7.95775389801938,0.70591677503251,5,47,"stimulatory C-type lectin receptor signaling pathway",0.00284210372795495
"GO:0031347",0.000795480954956952,2.49134242072151,7.7350455136541,18,515,"regulation of defense response",0.00330752607587364
"GO:0007154",0.000899003111528354,1.54822037142803,71.2825747724317,94,4746,"cell communication",0.00367351271434862
"GO:2000117",0.0011680213581531,6.9602691740413,0.796033810143043,5,53,"negative regulation of cysteine-type endopeptidase activity",0.00444467503317289
"GO:2000116",0.00116925169544987,3.43432023336472,3.10903771131339,10,207,"regulation of cysteine-type endopeptidase activity",0.00444467503317289
"GO:0050729",0.00119939889956155,5.50721461187215,1.18654096228869,6,79,"positive regulation of inflammatory response",0.00444467503317289
"GO:0002366",0.00120996432539744,2.73592753489232,5.45208062418726,14,363,"leukocyte activation involved in immune response",0.00444467503317289
"GO:0007165",0.00122041883883441,1.54260469004861,64.4787386215865,86,4293,"signal transduction",0.00444467503317289
"GO:0002263",0.0012419027544624,2.72792626728111,5.46710013003901,14,364,"cell activation involved in immune response",0.00444467503317289
"GO:0050728",0.00128191435859811,4.60998774509804,1.63712613784135,7,109,"negative regulation of inflammatory response",0.00444467503317289
"GO:0005975",0.00129585088152685,2.52320222912871,6.75877763328999,16,450,"carbohydrate metabolic process",0.00444467503317289
"GO:1903979",0.00132113070622304,66.1441048034934,0.0600780234070221,2,4,"negative regulation of microglial cell activation",0.00444467503317289
"GO:1905671",0.00132113070622304,66.1441048034934,0.0600780234070221,2,4,"regulation of lysosome organization",0.00444467503317289
"GO:0070172",0.00132113070622304,66.1441048034934,0.0600780234070221,2,4,"positive regulation of tooth mineralization",0.00444467503317289
"GO:0106014",0.00132113070622304,66.1441048034934,0.0600780234070221,2,4,"regulation of inflammatory response to wounding",0.00444467503317289
"GO:0046514",0.00133152711964251,16.5975877192982,0.225292587776333,3,15,"ceramide catabolic process",0.00444467503317289
"GO:0045071",0.00161430412297319,8.88046989720999,0.510663198959688,4,34,"negative regulation of viral genome replication",0.00519072719931836
"GO:0034311",0.00162073338712894,15.3198380566802,0.240312093628088,3,16,"diol metabolic process",0.00519072719931836
"GO:0035338",0.00162073338712894,15.3198380566802,0.240312093628088,3,16,"long-chain fatty-acyl-CoA biosynthetic process",0.00519072719931836
"GO:0008610",0.00180224932807647,2.3665469949092,7.64492847854356,17,509,"lipid biosynthetic process",0.00545551392238653
"GO:0002684",0.00182167753904753,2.11258326623234,11.1294538361508,22,741,"positive regulation of immune system process",0.00545551392238653
"GO:1901605",0.00186192037684393,3.81846515917692,2.23790637191157,8,149,"alpha-amino acid metabolic process",0.00545551392238653
"GO:0009913",0.0019419387355163,3.79132192256679,2.25292587776333,8,150,"epidermal cell differentiation",0.00545551392238653
"GO:0060900",0.00194634993525068,14.2246240601504,0.255331599479844,3,17,"embryonic camera-type eye formation",0.00545551392238653
"GO:0048268",0.00194634993525068,14.2246240601504,0.255331599479844,3,17,"clathrin coat assembly",0.00545551392238653
"GO:0051607",0.00196779990104629,3.1881243063263,3.33433029908973,10,222,"defense response to virus",0.00545551392238653
"GO:0140546",0.00196779990104629,3.1881243063263,3.33433029908973,10,222,"defense response to symbiont",0.00545551392238653
"GO:0002682",0.00209184791555471,1.91463992954407,15.7104031209363,28,1046,"regulation of immune system process",0.00545551392238653
"GO:1902564",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"negative regulation of neutrophil activation",0.00545551392238653
"GO:0060671",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"epithelial cell differentiation involved in embryonic placenta development",0.00545551392238653
"GO:0060672",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"epithelial cell morphogenesis involved in placental branching",0.00545551392238653
"GO:0150079",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"negative regulation of neuroinflammatory response",0.00545551392238653
"GO:0090594",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"inflammatory response to wounding",0.00545551392238653
"GO:0051351",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"positive regulation of ligase activity",0.00545551392238653
"GO:0002484",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway",0.00545551392238653
"GO:0002486",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent",0.00545551392238653
"GO:0002536",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"respiratory burst involved in inflammatory response",0.00545551392238653
"GO:0060264",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"regulation of respiratory burst involved in inflammatory response",0.00545551392238653
"GO:0060266",0.0021800778127228,44.0931586608443,0.0750975292587776,2,5,"negative regulation of respiratory burst involved in inflammatory response",0.00545551392238653
"GO:1903900",0.00221523173218118,4.84048192771084,1.33673602080624,6,89,"regulation of viral life cycle",0.00545551392238653
"GO:0046949",0.00230990527274545,13.2754385964912,0.2703511053316,3,18,"fatty-acyl-CoA biosynthetic process",0.00545551392238653
"GO:0009084",0.00230990527274545,13.2754385964912,0.2703511053316,3,18,"glutamine family amino acid biosynthetic process",0.00545551392238653
"GO:1902307",0.00230990527274545,13.2754385964912,0.2703511053316,3,18,"positive regulation of sodium ion transmembrane transport",0.00545551392238653
"GO:0008544",0.00231541455969098,3.11362262026399,3.4094278283485,10,227,"epidermis development",0.00545551392238653
"GO:0043281",0.00233414592931016,3.35254591608183,2.85370611183355,9,190,"regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.00545551392238653
"GO:0043065",0.00234443926775922,2.44733519404572,6.50344603381014,15,433,"positive regulation of apoptotic process",0.00545551392238653
"GO:0001817",0.00235733912147766,2.53483184625944,5.85760728218465,14,390,"regulation of cytokine production",0.00545551392238653
"GO:0009605",0.00237096174685997,1.68454597788926,27.8461638491547,43,1854,"response to external stimulus",0.00545551392238653
"GO:0032787",0.00241294679078558,2.52793702404381,5.87262678803641,14,391,"monocarboxylic acid metabolic process",0.00549873451361714
"GO:0050821",0.00244686034471926,4.08532608695652,1.83237971391417,7,122,"protein stabilization",0.00551715299839825
"GO:0006790",0.00246758741700513,3.08477447881155,3.43946684005202,10,229,"sulfur compound metabolic process",0.00551715299839825
"GO:0043525",0.00253450096608308,5.75640830027464,0.946228868660598,5,63,"positive regulation of neuron apoptotic process",0.00558843673607602
"GO:0050727",0.00254662939871819,3.07054709995886,3.45448634590377,10,230,"regulation of inflammatory response",0.00558843673607602
"GO:0044093",0.00269350593412458,1.85722353284086,16.7617685305592,29,1116,"positive regulation of molecular function",0.00579226874297426
"GO:0002833",0.00269495006649877,2.86326923076923,4.07028608582575,11,271,"positive regulation of response to biotic stimulus",0.00579226874297426
"GO:0035336",0.00271283472772212,12.4449013157895,0.285370611183355,3,19,"long-chain fatty-acyl-CoA metabolic process",0.00579226874297426
"GO:0050776",0.00279547922718361,2.11093396233283,10.078088426528,20,671,"regulation of immune response",0.00591543372180818
"GO:0043068",0.00291055746871953,2.38853193146417,6.6536410923277,15,443,"positive regulation of programmed cell death",0.00599257208892111
"GO:0002708",0.00291777510301517,4.56393939393939,1.41183355006502,6,94,"positive regulation of lymphocyte mediated immunity",0.00599257208892111
"GO:0016052",0.00293307325871244,3.9469537815126,1.8924577373212,7,126,"carbohydrate catabolic process",0.00599257208892111
"GO:0044242",0.00293307325871244,3.9469537815126,1.8924577373212,7,126,"cellular lipid catabolic process",0.00599257208892111
"GO:1904018",0.00306544282291285,3.91380208333333,1.90747724317295,7,127,"positive regulation of vasculature development",0.00613881176146601
"GO:0045766",0.00306544282291285,3.91380208333333,1.90747724317295,7,127,"positive regulation of angiogenesis",0.00613881176146601
"GO:0006979",0.0030997173335014,2.80830188679245,4.14538361508453,11,276,"response to oxidative stress",0.00613881176146601
"GO:0030149",0.00315648345387383,11.7120743034056,0.300390117035111,3,20,"sphingolipid catabolic process",0.00613881176146601
"GO:0046512",0.00323776991638503,33.0676855895196,0.0901170351105332,2,6,"sphingosine biosynthetic process",0.00613881176146601
"GO:0051340",0.00323776991638503,33.0676855895196,0.0901170351105332,2,6,"regulation of ligase activity",0.00613881176146601
"GO:0030259",0.00323776991638503,33.0676855895196,0.0901170351105332,2,6,"lipid glycosylation",0.00613881176146601
"GO:0001555",0.00323776991638503,33.0676855895196,0.0901170351105332,2,6,"oocyte growth",0.00613881176146601
"GO:0060268",0.00323776991638503,33.0676855895196,0.0901170351105332,2,6,"negative regulation of respiratory burst",0.00613881176146601
"GO:0009064",0.0033181047323096,5.38359977162432,1.00630689206762,5,67,"glutamine family amino acid metabolic process",0.0061920537130502
"GO:0048525",0.0033181047323096,5.38359977162432,1.00630689206762,5,67,"negative regulation of viral process",0.0061920537130502
"GO:0043066",0.00335136583323619,2.16540013366668,8.81644993498049,18,587,"negative regulation of apoptotic process",0.00620526330060138
"GO:0050896",0.00350943232421998,1.44268482490272,98.2876462938882,119,6544,"response to stimulus",0.00640344333730518
"GO:0090407",0.00351243727362732,2.33790999237223,6.7888166449935,15,452,"organophosphate biosynthetic process",0.00640344333730518
"GO:0031065",0.0036421093598437,11.0606725146199,0.315409622886866,3,21,"positive regulation of histone deacetylation",0.00653924180517392
"GO:0035337",0.0036421093598437,11.0606725146199,0.315409622886866,3,21,"fatty-acyl-CoA metabolic process",0.00653924180517392
"GO:0042981",0.00372697591892487,1.85084657008204,15.5902470741222,27,1038,"regulation of apoptotic process",0.00664130295327214
"GO:0006672",0.00376915869053156,5.21467090707965,1.03634590377113,5,69,"ceramide metabolic process",0.00666634783325359
"GO:0007155",0.00392844239548295,1.72613899855863,21.192522756827,34,1411,"cell adhesion",0.00689659887207006
"GO:0048679",0.00417088596347345,10.4778393351801,0.330429128738622,3,22,"regulation of axon regeneration",0.00697731036801525
"GO:0009226",0.00417088596347345,10.4778393351801,0.330429128738622,3,22,"nucleotide-sugar biosynthetic process",0.00697731036801525
"GO:0043388",0.00420412002831339,6.65594713656388,0.660858257477243,4,44,"positive regulation of DNA binding",0.00697731036801525
"GO:0090559",0.00420412002831339,6.65594713656388,0.660858257477243,4,44,"regulation of membrane permeability",0.00697731036801525
"GO:0072583",0.00420412002831339,6.65594713656388,0.660858257477243,4,44,"clathrin-dependent endocytosis",0.00697731036801525
"GO:0043069",0.0042091973825902,2.11514447509801,9.01170351105332,18,600,"negative regulation of programmed cell death",0.00697731036801525
"GO:0050731",0.00429568513969821,3.667236328125,2.027633289987,7,135,"positive regulation of peptidyl-tyrosine phosphorylation",0.00697731036801525
"GO:0080134",0.00445037794432308,1.86832786954146,14.253511053316,25,949,"regulation of response to stress",0.00697731036801525
"GO:0052548",0.00447554515575044,2.82284783884587,3.73985695708713,10,249,"regulation of endopeptidase activity",0.00697731036801525
"GO:0046520",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"sphingoid biosynthetic process",0.00697731036801525
"GO:0071281",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"cellular response to iron ion",0.00697731036801525
"GO:1900426",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"positive regulation of defense response to bacterium",0.00697731036801525
"GO:2000647",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"negative regulation of stem cell proliferation",0.00697731036801525
"GO:0002476",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib",0.00697731036801525
"GO:0002428",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"antigen processing and presentation of peptide antigen via MHC class Ib",0.00697731036801525
"GO:0007042",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"lysosomal lumen acidification",0.00697731036801525
"GO:0036446",0.00448809489960068,26.4524017467249,0.105136540962289,2,7,"myofibroblast differentiation",0.00697731036801525
"GO:0043085",0.00452420413436249,1.94702973650342,12.0005851755527,22,799,"positive regulation of catalytic activity",0.00697731036801525
"GO:1903036",0.00456080938533901,6.49317717846782,0.675877763328999,4,45,"positive regulation of response to wounding",0.00697731036801525
"GO:0044283",0.00456321986093824,2.34276179882409,6.30819245773732,14,420,"small molecule biosynthetic process",0.00697731036801525
"GO:0006629",0.00467413321040899,1.83772756745972,15.0795838751625,26,1004,"lipid metabolic process",0.00710108699273673
"GO:0007595",0.00474390517262892,9.95328947368421,0.345448634590377,3,23,"lactation",0.00711585775894337
"GO:0021602",0.00474390517262892,9.95328947368421,0.345448634590377,3,23,"cranial nerve morphogenesis",0.00711585775894337
"GO:0007586",0.00480034513856453,4.90662415408641,1.09642392717815,5,73,"digestion",0.00715523143295467
"GO:0043067",0.00499464298972059,1.80673284787803,15.9356957087126,27,1061,"regulation of programmed cell death",0.00738679200310847
"GO:0048518",0.00501803169831419,1.44209972327386,69.3750975292588,88,4619,"positive regulation of biological process",0.00738679200310847
"GO:1901564",0.00514918225804353,1.4361970338983,72.2588426527958,91,4811,"organonitrogen compound metabolic process",0.00750685949735842
"GO:0001816",0.00526577876259578,2.30196047801297,6.41332899869961,14,427,"cytokine production",0.00750685949735842
"GO:0090312",0.00536217999426199,9.47869674185464,0.360468140442133,3,24,"positive regulation of protein deacetylation",0.00750685949735842
"GO:0031063",0.00536217999426199,9.47869674185464,0.360468140442133,3,24,"regulation of histone deacetylation",0.00750685949735842
"GO:0045730",0.00536217999426199,9.47869674185464,0.360468140442133,3,24,"respiratory burst",0.00750685949735842
"GO:0046466",0.00536217999426199,9.47869674185464,0.360468140442133,3,24,"membrane lipid catabolic process",0.00750685949735842
"GO:0070570",0.00536217999426199,9.47869674185464,0.360468140442133,3,24,"regulation of neuron projection regeneration",0.00750685949735842
"GO:0032103",0.0053729116455017,2.29624435094281,6.42834850455137,14,428,"positive regulation of response to external stimulus",0.00750685949735842
"GO:0030148",0.00538466715000393,4.76580278128951,1.12646293888166,5,75,"sphingolipid biosynthetic process",0.00750685949735842
"GO:0043154",0.00575173092991675,6.04925911093312,0.720936280884265,4,48,"negative regulation of cysteine-type endopeptidase activity involved in apoptotic process",0.00772062367610786
"GO:0016477",0.00583421445444382,1.74761515281963,17.7079973992198,29,1179,"cell migration",0.00772062367610786
"GO:1903334",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"positive regulation of protein folding",0.00772062367610786
"GO:0034625",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"fatty acid elongation, monounsaturated fatty acid",0.00772062367610786
"GO:0034626",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"fatty acid elongation, polyunsaturated fatty acid",0.00772062367610786
"GO:0018243",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"protein O-linked glycosylation via threonine",0.00772062367610786
"GO:0002475",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"antigen processing and presentation via MHC class Ib",0.00772062367610786
"GO:0019367",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"fatty acid elongation, saturated fatty acid",0.00772062367610786
"GO:0019368",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"fatty acid elongation, unsaturated fatty acid",0.00772062367610786
"GO:0019673",0.00592507803909551,22.042212518195,0.120156046814044,2,8,"GDP-mannose metabolic process",0.00772062367610786
